Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MNVP,2,China                         ,WMO_Member,  21.500,  101.580,  MENGLA_56969.csv                                                 
MNVP,2,China                         ,WMO_Member,  23.440,  103.330,  MENGZI_56985.csv                                                 
MNVP,2,China                         ,WMO_Member,  38.630,  103.080,  MINQIN_52681.csv                                                 
MNVP,2,China                         ,WMO_Member,  44.500,  129.670,  MUDANJIANG_54094.csv                                             
MNVP,2,China                         ,WMO_Member,  31.480,   92.070,  NAGQU_55299.csv                                                  
MNVP,2,China                         ,WMO_Member,  28.600,  115.920,  NANCHANG_58606.csv                                               
MNVP,2,China                         ,WMO_Member,  31.930,  118.900,  NANJING_58238.csv                                                
MNVP,2,China                         ,WMO_Member,  22.780,  108.550,  NANNING_59431.csv                                                
MNVP,2,China                         ,WMO_Member,  33.100,  112.480,  NANYANG_57178.csv                                                
MNVP,2,China                         ,WMO_Member,  44.620,  114.150,  NARAN_BULAG_53083.csv                                            
MNVP,2,China                         ,WMO_Member,  49.170,  125.230,  NENJIANG_50557.csv                                               
MNVP,2,China                         ,WMO_Member,  29.570,   94.470,  NYINGCHI_56312.csv                                               
MNVP,2,China                         ,WMO_Member,  39.100,  107.980,  OTOG_QI_53529.csv                                                
MNVP,2,China                         ,WMO_Member,  27.730,   89.080,  PAGRI_55773.csv                                                  
MNVP,2,China                         ,WMO_Member,  35.530,  106.670,  PINGLIANG_53915.csv                                              
MNVP,2,China                         ,WMO_Member,  38.080,  116.550,  POTOU_54618.csv                                                  
MNVP,2,China                         ,WMO_Member,  31.150,   97.170,  QAMDO_56137.csv                                                  
MNVP,2,China                         ,WMO_Member,  45.080,  124.870,  QIAN_GORLOS_50949.csv                                            
MNVP,2,China                         ,WMO_Member,  36.070,  120.330,  QINGDAO_54857.csv                                                
MNVP,2,China                         ,WMO_Member,  47.380,  123.920,  QIQIHAR_50745.csv                                                
MNVP,2,China                         ,WMO_Member,  44.020,   89.570,  QITAI_51379.csv                                                  
MNVP,2,China                         ,WMO_Member,  34.130,   95.780,  QUMARLEB_56021.csv                                               
